1,Kabul,1
2,Tirana,2
3,Berlin,3
4,Andorra la Vieja,4
5,Luanda,5
6,Saint Johns,6
7,Riad,7
8,Argel,8
9,Buenos Aires,9
10,Erevan,10
11,Canberra,11
12,Viena,12
13,Baku,13
14,Nassau,14
15,Daca,15
16,Bridgetown,16
17,Manama,17
18,Bruselas,18
19,Belmopan,19
20,Porto Novo,20
21,Minsk,21
22,Naypyido,22
23,Sucre,23
24,Sarajevo,24
25,Gaborone,25
26,Brasilia,26
27,Bandar Seri Begawan,27
28,Sofia,28
29,Uagadugu,29
30,Bujumbura,30
31,Thimphu,31
32,Praia,32
33,Phnom Penh,33
34,Yaunde,34
35,Ottawa,35
36,Doha,36
37,NDjamena,37
38,Santiago,38
39,Pekin,39
40,Nicosia,40
41,Bogota,41
42,Moroni,42
43,Pyongyang,43
44,Seul,44
45,Yamusukro,45
46,San Jose,46
47,Zagreb,47
48,La Habana,48
49,Copenhague,49
50,Roseau,50
51,Quito,51
52,El Cairo,52
53,San Salvador,53
54,Abu Dabi,54
55,Asmara,55
56,Bratislava,56
57,Ljubljana,57
58,Madrid,58
59,Washington DC,59
60,Tallin,60
61,Mbabane,61
62,Adis Abeba,62
63,Manila,63
64,Helsinki,64
65,Suvan,65
66,Paris,66
67,Libreville,67
68,Banjul,68
69,Tiflis,69
70,Acra,70
71,San Jorge,71
72,Atenas,72
73,Ciudad de Guatemala,73
74,Conakri,74
75,Bisau,75
76,Malabo,76
77,Georgetown,77
78,Puerto Principe,78
79,Tegucigalpa,79
80,Budapest,80
81,Nueva Delhi,81
82,Yakarta,82
83,Bagdad,83
84,Teheran,84
85,Dublin,85
86,Reikiavik,86
87,Majuro,87
88,Honiara,88
89,Jerusalen,89
90,Roma,90
91,Kingson,91
92,Tokio,92
93,Amman,93
94,Astana,94
95,Nairobi,95
96,Biskek,96
97,Suva,97
98,Kuwait,98
99,Vientian,99
100,Maseru,100
101,Riga,101
102,Beirut,102
103,Monrovia,103
104,Tripoli,104
105,Vaduz,105
106,Vilna,106
107,Luxemburgo,107
108,Antananarivo,108
109,Kuala Lumpur,109
110,Lilongue,110
111,Male,111
112,Bamako,112
113,La Valeta,113
114,Rabat,114
115,Port Louis,115
116,Nuakchot,116
117,Ciudad de Mexico,117
118,Palikir,118
119,Chisinau,119
120,Monaco,120
121,Ulan Bator,121
122,Podgorica,122
123,Maputo,123
124,Windhoek,124
125,Yaren,125
126,Katmandu,126
127,Managua,127
128,Niamey,128
129,Abuya,129
130,Oslo,130
131,Wellington,131
132,Muscat,132
133,Amsterdam,133
134,Islamabad,134
135,Ngerulmud,135
136,Panama,136
137,Port Moresby,137
138,Asuncion,138
139,Lima,139
140,Varsovia,140
141,Lisboa,141
142,Londres,142
143,Bangui,143
144,Praga,144
145,Kinsasa,145
146,Santo Domingo,146
147,Kigali,147
148,Bucarest,148
149,Moscu,149
150,Apia,150
151,Basseterre,151
152,San Marino,152
153,Kingstown,153
154,Castries,154
155,Santo Tome,155
156,Dakar,156
157,Belgrado,157
158,Victoria,158
159,Freetown,159
160,Singapur,160
161,Damasco,161
162,Mogadiscio,162
163,Colombo,163
164,Pretoria,164
165,Cartum,165
166,Yuba,166
167,Estocolmo,167
168,Berna,168
169,Paramaribo,169
170,Bangkok,170
171,Dodoma,171
172,Dushanbe,172
173,Dili,173
174,Lome,174
175,Nukualofa,175
176,Puerto Espana,176
177,Tunez,177
178,Ashgabat,178
179,Ankara,179
180,Funafuti,180
181,Kiev,181
182,Kampala,182
183,Montevideo,183
184,Tashkent,184
185,Port Vila,185
186,Ciudad del Vaticano,186
187,Caracas,187
188,Hanoi,188
189,Sana,189
190,Yibuti,190
191,Lusaka,191
192,Harare,192
193,Ramala,193
194,Pristina,194
195,Torshavn,195
196,Nuuk,196
197,Hagatna,197
198,San Juan,198
199,Charlotte Amalie,199
200,Road Town,200