1,Afganistán
2,Albania
3,Alemania
4,Andorra
5,Angola
6,Antigua y Barbuda
7,Arabia Saudita
8,Argelia
9,Argentina
10,Armenia
11,Australia
12,Austria
13,Azerbaiyán
14,Bahamas
15,Bangladés
16,Barbados
17,Baréin
18,Bélgica
19,Belice
20,Benín
21,Bielorrusia
22,Birmania
23,Bolivia
24,Bosnia y Herzegovina
25,Botsuana
26,Brasil
27,Brunéi
28,Bulgaria
29,Burkina Faso
30,Burundi
31,Bután
32,Cabo Verde
33,Camboya
34,Camerún
35,Canadá
36,Catar
37,Chad
38,Chile
39,China
40,Chipre
41,Colombia
42,Comoras
43,Corea del Norte
44,Corea del Sur
45,Costa de Marfil
46,Costa Rica
47,Croacia
48,Cuba
49,Dinamarca
50,Dominica
51,Ecuador
52,Egipto
53,El Salvador
54,Emiratos Árabes Unidos
55,Eritrea
56,Eslovaquia
57,Eslovenia
58,España
59,Estados Unidos
60,Estonia
61,Esuatini
62,Etiopía
63,Filipinas
64,Finlandia
65,Fiyi
66,Francia
67,Gabón
68,Gambia
69,Georgia
70,Ghana
71,Granada
72,Grecia
73,Guatemala
74,Guinea
75,Guinea-Bisáu
76,Guinea Ecuatorial
77,Guyana
78,Haití
79,Honduras
80,Hungría
81,India
82,Indonesia
83,Irak
84,Irán
85,Irlanda
86,Islandia
87,Islas Marshall
88,Islas Salomón
89,Israel
90,Italia
91,Jamaica
92,Japón
93,Jordania
94,Kazajistán
95,Kenia
96,Kirguistán
97,Kiribati
98,Kuwait
99,Laos
100,Lesoto
101,Letonia
102,Líbano
103,Liberia
104,Libia
105,Liechtenstein
106,Lituania
107,Luxemburgo
108,Madagascar
109,Malasia
110,Malaui
111,Maldivas
112,Malí
113,Malta
114,Marruecos
115,Mauricio
116,Mauritania
117,México
118,Micronesia
119,Moldavia
120,Mónaco
121,Mongolia
122,Montenegro
123,Mozambique
124,Namibia
125,Nauru
126,Nepal
127,Nicaragua
128,Níger
129,Nigeria
130,Noruega
131,Nueva Zelanda
132,Omán
133,Países Bajos
134,Pakistán
135,Palaos
136,Panamá
137,Papúa Nueva Guinea
138,Paraguay
139,Perú
140,Polonia
141,Portugal
142,Reino Unido
143,República Centroafricana
144,República Checa
145,República Democrática del Congo
146,República Dominicana
147,Ruanda
148,Rumania
149,Rusia
150,Samoa
151,San Cristóbal y Nieves
152,San Marino
153,San Vicente y las Granadinas
154,Santa Lucía
155,Santo Tomé y Príncipe
156,Senegal
157,Serbia
158,Seychelles
159,Sierra Leona
160,Singapur
161,Siria
162,Somalia
163,Sri Lanka
164,Sudáfrica
165,Sudán
166,Sudán del Sur
167,Suecia
168,Suiza
169,Surinam
170,Tailandia
171,Tanzania
172,Tayikistán
173,Timor Oriental
174,Togo
175,Tonga
176,Trinidad y Tobago
177,Túnez
178,Turkmenistán
179,Turquía
180,Tuvalu
181,Ucrania
182,Uganda
183,Uruguay
184,Uzbekistán
185,Vanuatu
186,Vaticano
187,Venezuela
188,Vietnam
189,Yemen
190,Yibuti
191,Zambia
192,Zimbabue
193,Palestina
194,Kosovo
195,Islas Feroe
196,Groenlandia
197,Guam
198,Puerto Rico
199,Islas Vírgenes de los Estados Unidos
200,Islas Vírgenes Británicas